run,state,unit,max_absolute,rms,final,max_relative_excluding_initial
control-1.0-DOP853,P_A,mmHg,1.864464138634503e-11,4.529790254322055e-12,757.2974945477566,2.4605465741538807e-14
control-1.0-DOP853,f_o,dimensionless,1.1035616864774056e-13,1.9954980287129986e-14,0.209838543386063,7.305257168119413e-13
control-1.0-DOP853,f_c,dimensionless,7.866624018859625e-14,1.4355374656550846e-14,0.00013511551784654684,4.7671920098968585e-12
control-1.0-DOP853,p_o,mmHg,4.733777814180939e-10,3.5074667468768275e-11,149.04629088422234,4.83996008721836e-12
control-1.0-DOP853,p_c,mmHg,1.2654055581151624e-10,8.587579680861829e-12,0.9010903498904489,3.858309582982685e-12
control-1.0-DOP853,z,source-labelled dimensionless; unresolved,1.5094696326212187e-14,2.3960275050772717e-15,0.0012196803557138881,8.575302438248562e-12
control-1.1-Radau,V_A,litre,0.0,0.0,2.2881651198965174,0.0
control-1.1-Radau,P_A,mmHg,0.0,0.0,757.0290225999413,0.0
control-1.1-Radau,f_o,dimensionless,0.0,0.0,0.20983481050181166,0.0
control-1.1-Radau,f_c,dimensionless,0.0,0.0,0.00013805535333691657,0.0
control-1.1-Radau,p_o,mmHg,0.0,0.0,148.9872858871572,0.0
control-1.1-Radau,p_c,mmHg,0.0,0.0,0.9127049622430031,0.0
control-1.1-Radau,z,source-labelled dimensionless; unresolved,0.0,0.0,0.0012347021754670288,0.0
control-1.1-BDF,V_A,litre,9.006528856048135e-11,2.549048931225989e-11,2.2881651199012607,3.7157649900433463e-11
control-1.1-BDF,P_A,mmHg,2.105480234604329e-10,5.645237114877981e-11,757.0290225999473,2.7793999666932755e-13
control-1.1-BDF,f_o,dimensionless,8.279932295351955e-12,3.139648930055421e-12,0.2098348105018481,4.831397211055138e-11
control-1.1-BDF,f_c,dimensionless,5.9262178497832e-12,2.244118940758929e-12,0.00013805535330797507,2.508656629439857e-10
control-1.1-BDF,p_o,mmHg,1.6247497569565894e-08,2.76871832134817e-09,148.98728588718453,1.8910176289978956e-10
control-1.1-BDF,p_c,mmHg,6.952703301976726e-09,1.3766807773186614e-09,0.9127049620907073,2.706899111776572e-10
control-1.1-BDF,z,source-labelled dimensionless; unresolved,7.98367448540116e-13,5.129776422304577e-13,0.001234702175264641,4.868830746079815e-10
control-1.1-DOP853,V_A,litre,6.913580818945775e-12,2.4476003070049293e-12,2.288165119896535,2.756879796241623e-12
control-1.1-DOP853,P_A,mmHg,2.034994395216927e-11,3.938803217589129e-12,757.0290225999412,2.686393519803406e-14
control-1.1-DOP853,f_o,dimensionless,9.661715871800425e-14,1.5165224648236277e-14,0.20983481050181188,6.324810536583803e-13
control-1.1-DOP853,f_c,dimensionless,6.893791093531831e-14,1.087857885094138e-14,0.00013805535333679149,3.558362055754079e-12
control-1.1-DOP853,p_o,mmHg,4.869207259616815e-10,3.3838634878653376e-11,148.98728588715727,5.59639126043978e-12
control-1.1-DOP853,p_c,mmHg,1.242028702108655e-10,7.880709966086306e-12,0.9127049622429041,3.786918816844083e-12
control-1.1-DOP853,z,source-labelled dimensionless; unresolved,1.0873246747422627e-14,1.813266787387147e-15,0.0012347021754669587,8.673236442381432e-12
baseline,V_A,litre,6.693986254191486e-09,1.6151825682673925e-09,2.284388431364722,2.675307327437029e-09
baseline,P_A,mmHg,1.6634544408589136e-08,2.9817937291568194e-09,757.297494547673,2.1953341331709212e-11
baseline,f_o,dimensionless,9.077355533904097e-11,1.4923303793447934e-11,0.20983854338597857,5.875675261894932e-10
baseline,f_c,dimensionless,6.4736084548489e-11,1.0727461728566572e-11,0.00013511551790721047,3.0933428809037275e-09
baseline,p_o,mmHg,2.7813720748781634e-07,2.389035652586065e-08,149.04629088415146,2.719034938000548e-09
baseline,p_c,mmHg,9.127199973590905e-08,6.242108347486408e-09,0.9010903499229878,2.455301675322905e-09
baseline,z,source-labelled dimensionless; unresolved,1.0686882802313225e-11,1.76984396643246e-12,0.0012196803557260963,4.8676489185445215e-09
